describe,introduce,star,serial_number,evaluate,movie_name
恐怖分子的“秋菊打官司”。,2013/韩国/剧情犯罪悬疑,8.7,112,266707人评价,恐怖直播
梦的勾结。,2006/日本/动画悬疑科幻惊悚,8.9,113,159849人评价,红辣椒
那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014/日本/剧情,8.9,114,164099人评价,小森林 夏秋篇
我是一个演员。,1999/香港/喜剧剧情爱情,8.6,115,374751人评价,喜剧之王
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999/日本/剧情喜剧,8.7,116,217586人评价,菊次郎的夏天
和谐的生活离不开摸头与被摸头。,2010/美国/喜剧动画奇幻冒险,8.7,117,331136人评价,驯龙高手
有时候幸福需要等一等。 ,2004/美国/喜剧剧情爱情,8.7,118,255568人评价,幸福终点站
曾经的那段美好会沉淀为一辈子的记忆。,2010/日本/动画奇幻冒险,8.7,119,248169人评价,借东西的小人阿莉埃蒂
Mr. I Don't Care其实也有Care的时候。,2010/美国法国/喜剧动画冒险,8.5,120,443880人评价,神偷奶爸
幸福是生生不息，却难以触及的远。 ,1988/日本/动画剧情战争,8.7,121,229975人评价,萤火虫之墓
时代悲歌。,1954/日本/动作冒险剧情,9.2,122,89019人评价,七武士
岁月流逝，来日可追。,2010/香港中国大陆/剧情家庭,8.6,123,340152人评价,岁月神偷
关于连环杀人悬案的集体回忆。,2003/韩国/犯罪剧情悬疑惊悚,8.7,124,237566人评价,杀人回忆
不要给它起名字，起了名字就有感情了。,2001/美国/儿童喜剧动画奇幻冒险,8.6,125,282293人评价,怪兽电力公司
像吃了苏打饼一样干脆的电影。,2007/美国德国/动作悬疑惊悚,8.7,126,205489人评价,谍影重重3
中国家庭的喜怒哀乐忍。,1993/台湾美国/剧情喜剧爱情同性家庭,8.8,127,159876人评价,喜宴
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008/英国美国/剧情爱情,8.5,128,434058人评价,贫民窟的百万富翁
真相就在眼前。,2004/美国/悬疑惊悚恐怖,8.7,129,224134人评价,电锯惊魂
电影诗。,1994/香港台湾/剧情动作爱情武侠古装,8.6,130,288220人评价,东邪西毒
爱，是个动词。,2003/英国美国法国/喜剧剧情爱情,8.5,131,350290人评价,真爱至上
一个针管引发的血案。,2000/美国/犯罪剧情悬疑惊悚,8.6,132,314524人评价,记忆碎片
黑暗之美。,2010/美国/剧情惊悚,8.5,133,466797人评价,黑天鹅
老少皆宜，这就是好莱坞动画的魅力。,2013/美国/喜剧动画冒险,8.7,134,418502人评价,疯狂原始人
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015/日本/剧情,9.0,135,141847人评价,小森林 冬春篇
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988/美国/剧情,8.6,136,230367人评价,雨人
大海啊，不全是水。,2009/法国瑞士西班牙美国阿联酋/纪录片,9.0,137,105887人评价,海洋
10年的完美句点。,2011/美国英国/剧情悬疑奇幻冒险,8.7,138,314716人评价,哈利·波特与死亡圣器(下)
沉醉在电影的情感和视听氛围中无法自拔。,2017/意大利法国巴西美国/剧情爱情同性,8.8,139,217155人评价,请以你的名字呼唤我
当这个世界闭上双眼，他却敞开了怀抱。,2004/英国南非意大利美国/剧情历史战争,8.9,140,137055人评价,卢旺达饭店
触不到的恋人。,2011/日本/剧情爱情动画奇幻,8.8,141,189605人评价,萤火之森
英雄泪短，兄弟情长。 ,1986/香港/动作犯罪,8.6,142,200213人评价,英雄本色
《我是山姆》的《美丽人生》。,2013/韩国/剧情喜剧家庭,8.7,143,206829人评价,7号房的礼物
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014/中国大陆/剧情犯罪悬疑,8.6,144,211898人评价,心迷宫
永远看不腻的喜剧。,1966/法国英国/喜剧战争,8.9,145,118566人评价,虎口脱险
传奇，不是每个人都可以拥有。,1994/美国/剧情爱情西部家庭,8.7,146,161646人评价,燃情岁月
始于荒诞，止于更荒诞。,2014/阿根廷西班牙/剧情喜剧犯罪,8.8,147,169385人评价,荒蛮故事
爱是摈弃傲慢与偏见之后的曙光。,2005/法国英国美国/剧情爱情,8.5,148,345481人评价,傲慢与偏见
Balalala~~~,2014/美国/喜剧动作科幻动画冒险,8.6,149,430658人评价,超能陆战队
诺兰就是保证。,2012/美国英国/剧情动作科幻犯罪惊悚,8.6,150,333702人评价,蝙蝠侠：黑暗骑士崛起
我们都有权利不与自己的过去和解。,2016/美国/剧情家庭,8.6,151,233102人评价,海边的曼彻斯特
华太师是黄霑，吴镇宇四大才子之一。,1993/香港/喜剧爱情古装,8.4,152,393409人评价,唐伯虎点秋香
任何信念的力量，都无法改变命运。,1990/美国/剧情犯罪,8.8,153,150825人评价,教父3
香港浪漫主义警匪动作片的巅峰之作。,1991/香港/剧情喜剧动作犯罪,8.7,154,171524人评价,纵横四海
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,2004/美国/剧情爱情,8.5,155,321499人评价,恋恋笔记本
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013/英国/剧情爱情奇幻,8.6,156,236005人评价,时空恋旅人
跨度十五年的欢乐与泪水。,2010/美国/喜剧动画奇幻冒险,8.8,157,216283人评价,玩具总动员3
坏人的好总是比好人的好来得更感人。,1993/美国/剧情犯罪,9.0,158,93818人评价,完美的世界
偷情本没有这样美。,2000/香港/剧情爱情,8.5,159,277905人评价,花样年华
Jared Leto的腿比女人还美！,2013/美国/剧情传记同性,8.7,160,211350人评价,达拉斯买家俱乐部
有一些东西不应该被遗忘。,2015/中国大陆/纪录片,8.7,161,123627人评价,二十二
不可猜的青春迷笛。 ,1996/英国/犯罪剧情,8.5,162,271592人评价,猜火车
中国式内在的美国电影。,1940/美国/剧情战争爱情,8.8,163,142637人评价,魂断蓝桥
骨灰级歌舞片。,1952/美国/喜剧歌舞爱情,9.0,164,103226人评价,雨中曲
我的平常生活就是他人的幸福。,2004/日本/剧情,9.1,165,84827人评价,无人知晓
爱上未来的你。 ,2006/日本/剧情爱情科幻动画,8.6,166,205893人评价,穿越时空的少女
爱并不需要智商 。,2001/美国/剧情家庭,8.8,167,119579人评价,我是山姆
松鼠才是角儿。,2002/美国/喜剧动画冒险,8.5,168,307737人评价,冰川时代
对爱的执着，可以超越一切。,2001/美国/冒险剧情科幻,8.6,169,213477人评价,人工智能
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016/美国澳大利亚/剧情传记历史战争,8.7,170,369599人评价,血战钢锯岭
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014/美国/剧情音乐,8.6,171,268444人评价,爆裂鼓手
世界离独裁只有五天。,2008/德国/剧情惊悚,8.7,172,147989人评价,浪潮
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,2008/美国德国/剧情爱情,8.5,173,300132人评价,朗读者
